Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt,mangel_ratio
2022-04,2022,April,4,WZ08-L,Grundstücks- und Wohnungswesen,19.0,11.0,30.0,57.9
2022-04,2022,April,4,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",77.0,44.0,121.0,57.1
2022-04,2022,April,4,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,85.0,53.0,138.0,62.4
2022-04,2022,April,4,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-04,2022,April,4,WZ08-P,Erziehung und Unterricht,10.0,2.0,12.0,20.0
2022-04,2022,April,4,WZ08-Q,Gesundheits- und Sozialwesen,31.0,5.0,36.0,16.1
2022-04,2022,April,4,WZ08-R,"Kunst, Unterhaltung und Erholung",13.0,8.0,21.0,61.5
2022-04,2022,April,4,WZ08-S,Erbringung von sonstigen Dienstleistungen,53.0,22.0,75.0,41.5
2022-05,2022,Mai,5,WZ08-A,"Land- und Forstwirtschaft, Fischerei",5.0,,,
2022-05,2022,Mai,5,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-05,2022,Mai,5,WZ08-C,Verarbeitendes Gewerbe,77.0,12.0,89.0,15.6
2022-05,2022,Mai,5,WZ08-D,Energieversorgung,4.0,3.0,7.0,75.0
2022-05,2022,Mai,5,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,1.0,2.0,100.0
2022-05,2022,Mai,5,WZ08-F,Baugewerbe,161.0,72.0,233.0,44.7
2022-05,2022,Mai,5,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",142.0,41.0,183.0,28.9
2022-05,2022,Mai,5,WZ08-H,Verkehr und Lagerei,87.0,26.0,113.0,29.9
2022-05,2022,Mai,5,WZ08-I,Gastgewerbe,72.0,25.0,97.0,34.7
2022-05,2022,Mai,5,WZ08-J,Information und Kommunikation,21.0,11.0,32.0,52.4
2022-05,2022,Mai,5,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,18.0,16.0,34.0,88.9
2022-05,2022,Mai,5,WZ08-L,Grundstücks- und Wohnungswesen,27.0,14.0,41.0,51.9
2022-05,2022,Mai,5,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",93.0,56.0,149.0,60.2
2022-05,2022,Mai,5,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,97.0,35.0,132.0,36.1
2022-05,2022,Mai,5,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-05,2022,Mai,5,WZ08-P,Erziehung und Unterricht,15.0,1.0,16.0,6.7
2022-05,2022,Mai,5,WZ08-Q,Gesundheits- und Sozialwesen,29.0,4.0,33.0,13.8
2022-05,2022,Mai,5,WZ08-R,"Kunst, Unterhaltung und Erholung",13.0,3.0,16.0,23.1
2022-05,2022,Mai,5,WZ08-S,Erbringung von sonstigen Dienstleistungen,40.0,20.0,60.0,50.0
2022-06,2022,Juni,6,WZ08-A,"Land- und Forstwirtschaft, Fischerei",3.0,,,
2022-06,2022,Juni,6,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-06,2022,Juni,6,WZ08-C,Verarbeitendes Gewerbe,61.0,11.0,72.0,18.0
2022-06,2022,Juni,6,WZ08-D,Energieversorgung,6.0,,,
2022-06,2022,Juni,6,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,,,
2022-06,2022,Juni,6,WZ08-F,Baugewerbe,145.0,81.0,226.0,55.9
2022-06,2022,Juni,6,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",120.0,46.0,166.0,38.3
2022-06,2022,Juni,6,WZ08-H,Verkehr und Lagerei,62.0,28.0,90.0,45.2
2022-06,2022,Juni,6,WZ08-I,Gastgewerbe,68.0,31.0,99.0,45.6
2022-06,2022,Juni,6,WZ08-J,Information und Kommunikation,18.0,12.0,30.0,66.7
2022-06,2022,Juni,6,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,21.0,5.0,26.0,23.8
2022-06,2022,Juni,6,WZ08-L,Grundstücks- und Wohnungswesen,20.0,7.0,27.0,35.0
2022-06,2022,Juni,6,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",88.0,39.0,127.0,44.3
2022-06,2022,Juni,6,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,82.0,41.0,123.0,50.0
2022-06,2022,Juni,6,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-06,2022,Juni,6,WZ08-P,Erziehung und Unterricht,15.0,6.0,21.0,40.0
2022-06,2022,Juni,6,WZ08-Q,Gesundheits- und Sozialwesen,23.0,4.0,27.0,17.4
2022-06,2022,Juni,6,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,8.0,30.0,36.4
2022-06,2022,Juni,6,WZ08-S,Erbringung von sonstigen Dienstleistungen,47.0,18.0,65.0,38.3
2022-07,2022,Juli,7,WZ08-A,"Land- und Forstwirtschaft, Fischerei",7.0,1.0,8.0,14.3
2022-07,2022,Juli,7,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-07,2022,Juli,7,WZ08-C,Verarbeitendes Gewerbe,74.0,15.0,89.0,20.3
2022-07,2022,Juli,7,WZ08-D,Energieversorgung,4.0,1.0,5.0,25.0
2022-07,2022,Juli,7,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",4.0,1.0,5.0,25.0
2022-07,2022,Juli,7,WZ08-F,Baugewerbe,181.0,64.0,245.0,35.4
2022-07,2022,Juli,7,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",108.0,56.0,164.0,51.9
2022-07,2022,Juli,7,WZ08-H,Verkehr und Lagerei,69.0,13.0,82.0,18.8
2022-07,2022,Juli,7,WZ08-I,Gastgewerbe,70.0,28.0,98.0,40.0
2022-07,2022,Juli,7,WZ08-J,Information und Kommunikation,33.0,12.0,45.0,36.4
2022-07,2022,Juli,7,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,16.0,13.0,29.0,81.2
2022-07,2022,Juli,7,WZ08-L,Grundstücks- und Wohnungswesen,26.0,10.0,36.0,38.5
2022-07,2022,Juli,7,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",60.0,41.0,101.0,68.3
2022-07,2022,Juli,7,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,86.0,47.0,133.0,54.7
2022-07,2022,Juli,7,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-07,2022,Juli,7,WZ08-P,Erziehung und Unterricht,13.0,5.0,18.0,38.5
2022-07,2022,Juli,7,WZ08-Q,Gesundheits- und Sozialwesen,21.0,4.0,25.0,19.0
2022-07,2022,Juli,7,WZ08-R,"Kunst, Unterhaltung und Erholung",13.0,3.0,16.0,23.1
2022-07,2022,Juli,7,WZ08-S,Erbringung von sonstigen Dienstleistungen,33.0,22.0,55.0,66.7
2022-08,2022,August,8,WZ08-A,"Land- und Forstwirtschaft, Fischerei",7.0,3.0,10.0,42.9
2022-08,2022,August,8,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,
2022-08,2022,August,8,WZ08-C,Verarbeitendes Gewerbe,74.0,15.0,89.0,20.3
2022-08,2022,August,8,WZ08-D,Energieversorgung,,4.0,,
2022-08,2022,August,8,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,
2022-08,2022,August,8,WZ08-F,Baugewerbe,139.0,59.0,198.0,42.4
2022-08,2022,August,8,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",119.0,48.0,167.0,40.3
2022-08,2022,August,8,WZ08-H,Verkehr und Lagerei,56.0,27.0,83.0,48.2
2022-08,2022,August,8,WZ08-I,Gastgewerbe,63.0,25.0,88.0,39.7
2022-08,2022,August,8,WZ08-J,Information und Kommunikation,24.0,14.0,38.0,58.3
2022-08,2022,August,8,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,20.0,17.0,37.0,85.0
2022-08,2022,August,8,WZ08-L,Grundstücks- und Wohnungswesen,26.0,20.0,46.0,76.9
2022-08,2022,August,8,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",74.0,41.0,115.0,55.4
2022-08,2022,August,8,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,81.0,34.0,115.0,42.0
2022-08,2022,August,8,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-08,2022,August,8,WZ08-P,Erziehung und Unterricht,11.0,4.0,15.0,36.4
2022-08,2022,August,8,WZ08-Q,Gesundheits- und Sozialwesen,18.0,1.0,19.0,5.6
2022-08,2022,August,8,WZ08-R,"Kunst, Unterhaltung und Erholung",15.0,7.0,22.0,46.7
2022-08,2022,August,8,WZ08-S,Erbringung von sonstigen Dienstleistungen,82.0,17.0,99.0,20.7
2022-09,2022,September,9,WZ08-A,"Land- und Forstwirtschaft, Fischerei",3.0,2.0,5.0,66.7
2022-09,2022,September,9,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-09,2022,September,9,WZ08-C,Verarbeitendes Gewerbe,87.0,11.0,98.0,12.6
2022-09,2022,September,9,WZ08-D,Energieversorgung,4.0,1.0,5.0,25.0
2022-09,2022,September,9,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,
2022-09,2022,September,9,WZ08-F,Baugewerbe,146.0,51.0,197.0,34.9
2022-09,2022,September,9,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",134.0,48.0,182.0,35.8
2022-09,2022,September,9,WZ08-H,Verkehr und Lagerei,79.0,21.0,100.0,26.6
2022-09,2022,September,9,WZ08-I,Gastgewerbe,94.0,20.0,114.0,21.3
2022-09,2022,September,9,WZ08-J,Information und Kommunikation,33.0,12.0,45.0,36.4
2022-09,2022,September,9,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,22.0,8.0,30.0,36.4
2022-09,2022,September,9,WZ08-L,Grundstücks- und Wohnungswesen,30.0,12.0,42.0,40.0
2022-09,2022,September,9,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",80.0,39.0,119.0,48.8
2022-09,2022,September,9,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,94.0,40.0,134.0,42.6
2022-09,2022,September,9,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-09,2022,September,9,WZ08-P,Erziehung und Unterricht,15.0,5.0,20.0,33.3
2022-09,2022,September,9,WZ08-Q,Gesundheits- und Sozialwesen,27.0,3.0,30.0,11.1
2022-09,2022,September,9,WZ08-R,"Kunst, Unterhaltung und Erholung",20.0,4.0,24.0,20.0
2022-09,2022,September,9,WZ08-S,Erbringung von sonstigen Dienstleistungen,62.0,21.0,83.0,33.9
2022-10,2022,Oktober,10,WZ08-A,"Land- und Forstwirtschaft, Fischerei",5.0,3.0,8.0,60.0
2022-10,2022,Oktober,10,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,
2022-10,2022,Oktober,10,WZ08-C,Verarbeitendes Gewerbe,62.0,9.0,71.0,14.5
2022-10,2022,Oktober,10,WZ08-D,Energieversorgung,2.0,2.0,4.0,100.0
2022-10,2022,Oktober,10,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,1.0,2.0,100.0
2022-10,2022,Oktober,10,WZ08-F,Baugewerbe,172.0,79.0,251.0,45.9
2022-10,2022,Oktober,10,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",136.0,70.0,206.0,51.5
2022-10,2022,Oktober,10,WZ08-H,Verkehr und Lagerei,56.0,35.0,91.0,62.5
2022-10,2022,Oktober,10,WZ08-I,Gastgewerbe,75.0,26.0,101.0,34.7
2022-10,2022,Oktober,10,WZ08-J,Information und Kommunikation,37.0,10.0,47.0,27.0
2022-10,2022,Oktober,10,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,16.0,20.0,36.0,125.0
2022-10,2022,Oktober,10,WZ08-L,Grundstücks- und Wohnungswesen,20.0,17.0,37.0,85.0
2022-10,2022,Oktober,10,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",71.0,32.0,103.0,45.1
2022-10,2022,Oktober,10,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,87.0,48.0,135.0,55.2
2022-10,2022,Oktober,10,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-10,2022,Oktober,10,WZ08-P,Erziehung und Unterricht,10.0,1.0,11.0,10.0
2022-10,2022,Oktober,10,WZ08-Q,Gesundheits- und Sozialwesen,34.0,2.0,36.0,5.9
2022-10,2022,Oktober,10,WZ08-R,"Kunst, Unterhaltung und Erholung",26.0,8.0,34.0,30.8
2022-10,2022,Oktober,10,WZ08-S,Erbringung von sonstigen Dienstleistungen,43.0,28.0,71.0,65.1
2022-11,2022,November,11,WZ08-A,"Land- und Forstwirtschaft, Fischerei",3.0,,,
2022-11,2022,November,11,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-11,2022,November,11,WZ08-C,Verarbeitendes Gewerbe,99.0,10.0,109.0,10.1
2022-11,2022,November,11,WZ08-D,Energieversorgung,4.0,1.0,5.0,25.0
2022-11,2022,November,11,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,1.0,2.0,100.0
2022-11,2022,November,11,WZ08-F,Baugewerbe,165.0,72.0,237.0,43.6
2022-11,2022,November,11,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",154.0,53.0,207.0,34.4
2022-11,2022,November,11,WZ08-H,Verkehr und Lagerei,73.0,25.0,98.0,34.2
2022-11,2022,November,11,WZ08-I,Gastgewerbe,87.0,39.0,126.0,44.8
2022-11,2022,November,11,WZ08-J,Information und Kommunikation,43.0,14.0,57.0,32.6
2022-11,2022,November,11,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,17.0,5.0,22.0,29.4
2022-11,2022,November,11,WZ08-L,Grundstücks- und Wohnungswesen,27.0,11.0,38.0,40.7
2022-11,2022,November,11,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",82.0,48.0,130.0,58.5
2022-11,2022,November,11,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,115.0,35.0,150.0,30.4
2022-11,2022,November,11,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-11,2022,November,11,WZ08-P,Erziehung und Unterricht,8.0,,,
2022-11,2022,November,11,WZ08-Q,Gesundheits- und Sozialwesen,21.0,2.0,23.0,9.5
2022-11,2022,November,11,WZ08-R,"Kunst, Unterhaltung und Erholung",20.0,6.0,26.0,30.0
2022-11,2022,November,11,WZ08-S,Erbringung von sonstigen Dienstleistungen,53.0,18.0,71.0,34.0
2022-12,2022,Dezember,12,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0,16.7
2022-12,2022,Dezember,12,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,1.0,2.0,100.0
2022-12,2022,Dezember,12,WZ08-C,Verarbeitendes Gewerbe,101.0,19.0,120.0,18.8
2022-12,2022,Dezember,12,WZ08-D,Energieversorgung,3.0,1.0,4.0,33.3
2022-12,2022,Dezember,12,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,,,
2022-12,2022,Dezember,12,WZ08-F,Baugewerbe,176.0,64.0,240.0,36.4
2022-12,2022,Dezember,12,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",182.0,73.0,255.0,40.1
2022-12,2022,Dezember,12,WZ08-H,Verkehr und Lagerei,65.0,20.0,85.0,30.8
2022-12,2022,Dezember,12,WZ08-I,Gastgewerbe,69.0,38.0,107.0,55.1
2022-12,2022,Dezember,12,WZ08-J,Information und Kommunikation,30.0,14.0,44.0,46.7
2022-12,2022,Dezember,12,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,8.0,27.0,42.1
2022-12,2022,Dezember,12,WZ08-L,Grundstücks- und Wohnungswesen,21.0,17.0,38.0,81.0
2022-12,2022,Dezember,12,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",87.0,54.0,141.0,62.1
2022-12,2022,Dezember,12,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,98.0,50.0,148.0,51.0
2022-12,2022,Dezember,12,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-12,2022,Dezember,12,WZ08-P,Erziehung und Unterricht,16.0,1.0,17.0,6.2
2022-12,2022,Dezember,12,WZ08-Q,Gesundheits- und Sozialwesen,32.0,10.0,42.0,31.2
2022-12,2022,Dezember,12,WZ08-R,"Kunst, Unterhaltung und Erholung",26.0,6.0,32.0,23.1
2022-12,2022,Dezember,12,WZ08-S,Erbringung von sonstigen Dienstleistungen,63.0,15.0,78.0,23.8
2023-01,2023,Januar,1,WZ08-A,"Land- und Forstwirtschaft, Fischerei",10.0,1.0,11.0,10.0
2023-01,2023,Januar,1,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,2.0,1.0,3.0,50.0
2023-01,2023,Januar,1,WZ08-C,Verarbeitendes Gewerbe,83.0,11.0,94.0,13.3
2023-01,2023,Januar,1,WZ08-D,Energieversorgung,2.0,,,
2023-01,2023,Januar,1,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,1.0,3.0,50.0
2023-01,2023,Januar,1,WZ08-F,Baugewerbe,177.0,69.0,246.0,39.0
2023-01,2023,Januar,1,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",128.0,76.0,204.0,59.4
2023-01,2023,Januar,1,WZ08-H,Verkehr und Lagerei,74.0,21.0,95.0,28.4
2023-01,2023,Januar,1,WZ08-I,Gastgewerbe,65.0,36.0,101.0,55.4
2023-01,2023,Januar,1,WZ08-J,Information und Kommunikation,34.0,12.0,46.0,35.3
2023-01,2023,Januar,1,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,25.0,15.0,40.0,60.0
2023-01,2023,Januar,1,WZ08-L,Grundstücks- und Wohnungswesen,19.0,11.0,30.0,57.9
2023-01,2023,Januar,1,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",85.0,49.0,134.0,57.6
2023-01,2023,Januar,1,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,94.0,38.0,132.0,40.4
2023-01,2023,Januar,1,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2023-01,2023,Januar,1,WZ08-P,Erziehung und Unterricht,16.0,1.0,17.0,6.2
2023-01,2023,Januar,1,WZ08-Q,Gesundheits- und Sozialwesen,27.0,6.0,33.0,22.2
2023-01,2023,Januar,1,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,5.0,24.0,26.3
2023-01,2023,Januar,1,WZ08-S,Erbringung von sonstigen Dienstleistungen,38.0,18.0,56.0,47.4
2023-02,2023,Februar,2,WZ08-A,"Land- und Forstwirtschaft, Fischerei",9.0,3.0,12.0,33.3
2023-02,2023,Februar,2,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,
2023-02,2023,Februar,2,WZ08-C,Verarbeitendes Gewerbe,91.0,9.0,100.0,9.9
2023-02,2023,Februar,2,WZ08-D,Energieversorgung,,,,
2023-02,2023,Februar,2,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,1.0,3.0,50.0
2023-02,2023,Februar,2,WZ08-F,Baugewerbe,166.0,71.0,237.0,42.8
2023-02,2023,Februar,2,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",177.0,57.0,234.0,32.2
2023-02,2023,Februar,2,WZ08-H,Verkehr und Lagerei,70.0,22.0,92.0,31.4
2023-02,2023,Februar,2,WZ08-I,Gastgewerbe,102.0,35.0,137.0,34.3
2023-02,2023,Februar,2,WZ08-J,Information und Kommunikation,43.0,14.0,57.0,32.6
2023-02,2023,Februar,2,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,20.0,9.0,29.0,45.0
2023-02,2023,Februar,2,WZ08-L,Grundstücks- und Wohnungswesen,40.0,5.0,45.0,12.5
2023-02,2023,Februar,2,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",79.0,40.0,119.0,50.6
2023-02,2023,Februar,2,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,108.0,33.0,141.0,30.6
2023-02,2023,Februar,2,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2023-02,2023,Februar,2,WZ08-P,Erziehung und Unterricht,18.0,4.0,22.0,22.2
2023-02,2023,Februar,2,WZ08-Q,Gesundheits- und Sozialwesen,40.0,1.0,41.0,2.5
2023-02,2023,Februar,2,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,5.0,24.0,26.3
2023-02,2023,Februar,2,WZ08-S,Erbringung von sonstigen Dienstleistungen,54.0,14.0,68.0,25.9
2023-03,2023,März,3,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,,,
2023-03,2023,März,3,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2023-03,2023,März,3,WZ08-C,Verarbeitendes Gewerbe,109.0,16.0,125.0,14.7
2023-03,2023,März,3,WZ08-D,Energieversorgung,3.0,,,
2023-03,2023,März,3,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,
2023-03,2023,März,3,WZ08-F,Baugewerbe,191.0,70.0,261.0,36.6
2023-03,2023,März,3,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",171.0,63.0,234.0,36.8
2023-03,2023,März,3,WZ08-H,Verkehr und Lagerei,74.0,19.0,93.0,25.7
2023-03,2023,März,3,WZ08-I,Gastgewerbe,95.0,37.0,132.0,38.9
2023-03,2023,März,3,WZ08-J,Information und Kommunikation,48.0,17.0,65.0,35.4
2023-03,2023,März,3,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,14.0,33.0,73.7
2023-03,2023,März,3,WZ08-L,Grundstücks- und Wohnungswesen,49.0,14.0,63.0,28.6
2023-03,2023,März,3,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",106.0,37.0,143.0,34.9
2023-03,2023,März,3,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,110.0,53.0,163.0,48.2
2023-03,2023,März,3,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2023-03,2023,März,3,WZ08-P,Erziehung und Unterricht,13.0,2.0,15.0,15.4
2023-03,2023,März,3,WZ08-Q,Gesundheits- und Sozialwesen,38.0,5.0,43.0,13.2
2023-03,2023,März,3,WZ08-R,"Kunst, Unterhaltung und Erholung",27.0,7.0,34.0,25.9
2023-03,2023,März,3,WZ08-S,Erbringung von sonstigen Dienstleistungen,49.0,19.0,68.0,38.8
2023-04,2023,April,4,WZ08-A,"Land- und Forstwirtschaft, Fischerei",5.0,3.0,8.0,60.0
2023-04,2023,April,4,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2023-04,2023,April,4,WZ08-C,Verarbeitendes Gewerbe,82.0,15.0,97.0,18.3
2023-04,2023,April,4,WZ08-D,Energieversorgung,5.0,,,
2023-04,2023,April,4,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",,2.0,,
2023-04,2023,April,4,WZ08-F,Baugewerbe,165.0,70.0,235.0,42.4
2023-04,2023,April,4,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",129.0,60.0,189.0,46.5
2023-04,2023,April,4,WZ08-H,Verkehr und Lagerei,89.0,19.0,108.0,21.3
2023-04,2023,April,4,WZ08-I,Gastgewerbe,104.0,34.0,138.0,32.7
2023-04,2023,April,4,WZ08-J,Information und Kommunikation,47.0,16.0,63.0,34.0
2023-04,2023,April,4,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,10.0,11.0,21.0,110.0
2023-04,2023,April,4,WZ08-L,Grundstücks- und Wohnungswesen,32.0,13.0,45.0,40.6
2023-04,2023,April,4,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",100.0,51.0,151.0,51.0
2023-04,2023,April,4,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,119.0,51.0,170.0,42.9
2023-04,2023,April,4,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2023-04,2023,April,4,WZ08-P,Erziehung und Unterricht,11.0,3.0,14.0,27.3
2023-04,2023,April,4,WZ08-Q,Gesundheits- und Sozialwesen,94.0,3.0,97.0,3.2
2023-04,2023,April,4,WZ08-R,"Kunst, Unterhaltung und Erholung",16.0,6.0,22.0,37.5
2023-04,2023,April,4,WZ08-S,Erbringung von sonstigen Dienstleistungen,47.0,16.0,63.0,34.0
2023-05,2023,Mai,5,WZ08-A,"Land- und Forstwirtschaft, Fischerei",9.0,1.0,10.0,11.1
2023-05,2023,Mai,5,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2023-05,2023,Mai,5,WZ08-C,Verarbeitendes Gewerbe,106.0,17.0,123.0,16.0
2023-05,2023,Mai,5,WZ08-D,Energieversorgung,1.0,1.0,2.0,100.0
2023-05,2023,Mai,5,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,1.0,3.0,50.0
2023-05,2023,Mai,5,WZ08-F,Baugewerbe,199.0,71.0,270.0,35.7
2023-05,2023,Mai,5,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",170.0,74.0,244.0,43.5
2023-05,2023,Mai,5,WZ08-H,Verkehr und Lagerei,66.0,26.0,92.0,39.4
2023-05,2023,Mai,5,WZ08-I,Gastgewerbe,109.0,44.0,153.0,40.4
2023-05,2023,Mai,5,WZ08-J,Information und Kommunikation,38.0,15.0,53.0,39.5
2023-05,2023,Mai,5,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,17.0,13.0,30.0,76.5
2023-05,2023,Mai,5,WZ08-L,Grundstücks- und Wohnungswesen,38.0,22.0,60.0,57.9
2023-05,2023,Mai,5,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",75.0,49.0,124.0,65.3
2023-05,2023,Mai,5,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,122.0,43.0,165.0,35.2
2023-05,2023,Mai,5,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2023-05,2023,Mai,5,WZ08-P,Erziehung und Unterricht,14.0,,,
2023-05,2023,Mai,5,WZ08-Q,Gesundheits- und Sozialwesen,39.0,6.0,45.0,15.4
2023-05,2023,Mai,5,WZ08-R,"Kunst, Unterhaltung und Erholung",16.0,4.0,20.0,25.0
2023-05,2023,Mai,5,WZ08-S,Erbringung von sonstigen Dienstleistungen,51.0,19.0,70.0,37.3
2023-06,2023,Juni,6,WZ08-A,"Land- und Forstwirtschaft, Fischerei",11.0,,,
2023-06,2023,Juni,6,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2023-06,2023,Juni,6,WZ08-C,Verarbeitendes Gewerbe,111.0,23.0,134.0,20.7
2023-06,2023,Juni,6,WZ08-D,Energieversorgung,4.0,1.0,5.0,25.0
2023-06,2023,Juni,6,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,2.0,3.0,200.0
2023-06,2023,Juni,6,WZ08-F,Baugewerbe,204.0,70.0,274.0,34.3
2023-06,2023,Juni,6,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",179.0,70.0,249.0,39.1
